name,url,rq1Inter,rq1Indep,rq1Open,SD,rq3rq4,legal,topics
LogiLogi Foundation,http://foundation.logilogi.org/,Y,Y,N,N,N,Dutch Stichting,"OSS-promotion,Community-coordination"
Mambo Foundation  Inc.,http://mambo-foundation.org/,Y,Y,N,Y,N,Australian Nonprofit,"Project-sponsoring,Legal-support,Community-coordination,Software-Development"
Mozilla Foundation,http://www.mozilla.org/foundation/,Y,Y,Y,Y,Y,United States 501(c)(3),"OSS-promotion,Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
NetBSD Foundation,https://www.netbsd.org/foundation/,Y,Y,Y,Y,Y,United States 501(c)(3),"Project-sponsoring,Community-coordination,Software-Development"
NLnet Foundation,http://www.nlnet.nl/,Y,Y,Y,N,N,Netherlands ANBI,"Event-organization,Project-sponsoring"
NLnet Labs Foundation,http://www.nlnetlabs.nl,Y,Y,Y,Y,Y,Netherlands ANBI,"Project-sponsoring,Community-coordination,Software-Development"
NumFocus Inc.,https://www.numfocus.org/,Y,Y,Y,N,N,United States 501(c)(3),"OSS-promotion,Training,Legal-support"
One Laptop Per Child Association  Inc.,http://www.laptop.org/,Y,Y,N,N,N,United States 501(c)(3),"OSS-promotion,Training"
Open Bioinformatics Foundation,https://www.open-bio.org,Y,N,Y,Y,N,Non-profit,"Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
Open Hardware Foundation,http://wiki.p2pfoundation.net/Open_Hardware_Foundation,Y,Y,N,N,N,United States 501(c)(3),OSS-promotion
Open Health Tools,http://www.openhealthtools.org/,Y,Y,N,Y,N,United States 501(c)(6),"Project-sponsoring,Software-Development"
Open Media Now! Foundation,http://www.openmedianow.org/,Y,Y,N,N,N,United States 501(c)(6),OSS-promotion
Open Source Applications Foundation,http://www.osafoundation.org/,Y,Y,N,Y,N,United States 501(c)(3),"OSS-promotion,Project-sponsoring,Community-coordination,Software-Development"
OSET Institute's,http://www.osetfoundation.org,Y,Y,N,Y,N,United States 501(c)(3),"Project-sponsoring,Software-Development"
Open Source For America,http://opensourceforamerica.org/about-osfa/our-mission/,N,Y,N,N,N,Unknown,"OSS-promotion,Government-involvement,Community-coordination"
Open Source Geospatial Foundation,http://www.osgeo.org/content/foundation/about.html,Y,Y,Y,Y,Y,United States 501(c)(4),"OSS-promotion,Project-sponsoring,Community-coordination,Software-Development"
Open Source Initiative,http://opensource.org/,Y,Y,Y,N,N,United States 501(c)(3),"OSS-promotion,Standard-leaders"
